ChuyenMuc,TieuDe,MoTa,ThoiGian,DuongDan,HinhAnh
Kinh Doanh,"Rau xanh, hải sản từ miền Trung - Tây Nguyên bị gián đoạn vì lũ","Mưa lũ kéo dài làm nguồn rau từ Lâm Đồng gián đoạn, trong khi tôm hùm miền Trung chết hàng loạt nhưng khó tiêu thụ vì giao thông tê liệt.",Mới cập nhật,https://vnexpress.net/rau-xanh-hai-san-tu-mien-trung-tay-nguyen-bi-gian-doan-vi-lu-4971192.html,https://i1-kinhdoanh.vnecdn.net/2025/11/22/go-1763696572-1763696597-17636-7080-7030-1763746198.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=0yV0z58iJc7eRk71v6qAqg
Kinh Doanh,Lưu ý gì trước khi mua chung cư?,"Chung cư là loại hình nhà ở ngày càng phổ biến, những lưu ý dưới đây sẽ giúp bạn tránh được sai lầm không đáng có trước khi chọn mua.",Mới cập nhật,https://vnexpress.net/luu-y-gi-truoc-khi-mua-chung-cu-4965778.html,https://i1-kinhdoanh.vnecdn.net/2025/11/19/dji-20251002122921-0039-d-1763-6065-5231-1763524354.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=fWzIUqxS31h3pPf4_WYi6w
Kinh Doanh,'Công nghệ là chìa khóa giúp nhà đầu tư giảm rủi ro trong giao dịch chứng khoán',"Chuyên gia thảo luận tại DNSE Future Tech Summit nhận định, trong kỷ nguyên giao dịch tốc độ, hạ tầng máy chủ và công nghệ là chìa khóa giúp nhà đầu tư giảm rủi ro, nắm bắt cơ hội nhanh hơn.",Mới cập nhật,https://vnexpress.net/cong-nghe-la-chia-khoa-giup-nha-dau-tu-giam-rui-ro-trong-giao-dich-chung-khoan-4974947.html,https://i1-kinhdoanh.vnecdn.net/2025/11/22/cac-dien-gia-tai-phien-thao-lu-6417-8207-1763794457.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=3nrBGSTMQ6OrMDgbqnb-dA
Kinh Doanh,LPBank ra mắt gói tài khoản giúp doanh nghiệp tiết kiệm chi phí,"LPBank giới thiệu ""Tài khoản vạn năng - Lộc phát toàn diện"", miễn nhiều loại phí giao dịch, hỗ trợ quản lý dòng tiền linh hoạt và giúp doanh nghiệp tiết kiệm chi phí vận hành.",Mới cập nhật,https://vnexpress.net/lpbank-ra-mat-goi-tai-khoan-giup-doanh-nghiep-tiet-kiem-chi-phi-4974412.html,https://i1-kinhdoanh.vnecdn.net/2025/11/22/picture39-1763786486-176378649-8764-3918-1763786652.png?w=240&h=144&q=100&dpr=1&fit=crop&s=wbU1ufGgQDpOinoNEf-dSg
Kinh Doanh,Acecook Việt Nam thăng hạng trong top 'Nơi làm việc tốt nhất',"10 năm liên tiếp có mặt trong Top 100 nơi làm việc tốt nhất Việt Nam, Acecook Việt Nam đi lên từ Top 15 (năm 2015), Top 8 (2020) đến Top 4 nhóm ngành hàng tiêu dùng (2025).",Mới cập nhật,https://vnexpress.net/acecook-viet-nam-thang-hang-trong-top-noi-lam-viec-tot-nhat-4972430.html,https://i1-kinhdoanh.vnecdn.net/2025/11/21/2-1763718150-1763718445-8912-1763721459.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=6NQB3mO39AZ0Ghh9T5bOpA
Kinh Doanh,Chuỗi Café Amazon của Thái Lan rút khỏi Việt Nam,"Sau 5 năm thâm nhập, Café Amazon - chuỗi cà phê lớn nhất Thái Lan - đã dừng hoạt động tại Việt Nam từ tuần này.",Mới cập nhật,https://vnexpress.net/chuoi-cafe-amazon-cua-thai-lan-rut-khoi-viet-nam-4972856.html,https://i1-kinhdoanh.vnecdn.net/2025/11/21/532832510-1280464754090219-585-2241-6740-1763728380.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=c3XqEakabXUoMGqmLscIxA
Kinh Doanh,Con trai ông Phạm Nhật Vượng tham gia Hội đồng quản trị VinFast,"Ông Phạm Nhật Quân Anh, con trai cả của ông Phạm Nhật Vượng, được bổ nhiệm làm Thành viên Hội đồng quản trị VinFast ngày 20/11.",Mới cập nhật,https://vnexpress.net/con-trai-ong-pham-nhat-vuong-tham-gia-hoi-dong-quan-tri-vinfast-4973153.html,https://i1-kinhdoanh.vnecdn.net/2025/11/21/pnqa-1763730287-1763730303-3123-1763730343.png?w=240&h=144&q=100&dpr=1&fit=crop&s=edHEA7BeFACs-ciJ4m5sFg
Kinh Doanh,Thủ tướng kêu gọi doanh nghiệp Việt Nam - Nam Phi 'kết nối - ra sản phẩm',"Thủ tướng Phạm Minh Chính đề nghị cộng đồng doanh nghiệp hai nước Việt Nam - Nam Phi tăng đầu tư, hợp tác, hỗ trợ nhau để cùng phát triển.",Mới cập nhật,https://vnexpress.net/thu-tuong-keu-goi-doanh-nghiep-viet-nam-nam-phi-ket-noi-ra-san-pham-4973086.html,https://i1-kinhdoanh.vnecdn.net/2025/11/21/img566417637245185671049860443-3395-3677-1763729144.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=V1vBNqj3P7-ZT1Uh-3yISQ
Kinh Doanh,Chứng khoán chốt tuần trong sắc đỏ,"Hơn 200 cổ phiếu đi lùi, nổi bật là nhóm chứng khoán và ngân hàng, khiến VN-Index bị nhuộm đỏ gần như cả ngày và chốt phiên giảm hơn 1 điểm.",Mới cập nhật,https://vnexpress.net/chung-khoan-hom-nay-21-11-vn-index-chot-tuan-trong-sac-do-4972191.html,https://i1-kinhdoanh.vnecdn.net/2025/11/21/quyn8466-1763713138-4137-1763713782.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=rebmaOR9ev4ukRpeTEcQ5g
Kinh Doanh,Walmart ăn nên làm ra khi người Mỹ tiết kiệm chi tiêu,"Doanh thu và lợi nhuận quý trước của Walmart đều tăng, trong bối cảnh người Mỹ đối mặt với giá cả đi lên do lạm phát, thuế nhập khẩu.",Mới cập nhật,https://vnexpress.net/walmart-an-nen-lam-ra-khi-nguoi-my-tiet-kiem-chi-tieu-4971406.html,https://i1-kinhdoanh.vnecdn.net/2025/11/21/walmart-reu-3-1763710977-17637-1305-4715-1763711038.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=yoT77-YEUP8AMPb8B4WADA
Kinh Doanh,Hãng hydro xanh của Pháp muốn rót nửa tỷ USD vào Việt Nam,"Công ty hạ tầng hydro xanh HDF Energy (Pháp) mong muốn rót 500 triệu USD đầu tư các dự án năng lượng, giao thông tiềm năng tại Việt Nam.",Mới cập nhật,https://vnexpress.net/hang-hydro-xanh-cua-phap-muon-rot-nua-ty-usd-vao-viet-nam-4971194.html,https://i1-kinhdoanh.vnecdn.net/2025/11/21/hdf-fuel-cell-1-web-960x0-medi-1861-5906-1763696161.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=2ZYl6FnfotLt_FzD9GlBtw
Kinh Doanh,Ai đang bán tháo Bitcoin mạnh nhất?,"Khi Bitcoin giảm về dưới 90.000 USD, các nhà đầu tư trung và ngắn hạn dẫn dắt đà bán tháo hiện tại với phần lớn kết quả đều thua lỗ.",Mới cập nhật,https://vnexpress.net/gia-bitcoin-hom-nay-ai-dang-ban-thao-btc-manh-nhat-4971228.html,https://i1-kinhdoanh.vnecdn.net/2025/11/21/o2i2ydoihvkdth5grqsqsxhzbm-176-2839-3566-1763694033.png?w=240&h=144&q=100&dpr=1&fit=crop&s=iBhThHr1mN8UUSBJbw6UfQ
Kinh Doanh,Vingroup sắp xây bến cảng quốc tế hơn 8.800 tỷ đồng ở Hà Tĩnh,Công ty cổ phần Đầu tư Khu công nghiệp Vinhomes Hà Tĩnh (thành viên Vingroup) sẽ xây dựng dự án bến cảng quốc tế Sơn Dương tại phường Vũng Áng.,Mới cập nhật,https://vnexpress.net/vingroup-sap-xay-ben-cang-quoc-te-hon-8-800-ty-dong-o-ha-tinh-4971130.html,https://i1-kinhdoanh.vnecdn.net/2025/11/21/cangsonduong-1763693039-3767-1763693767.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=k8x69tozQAEpzsBUilZEMQ
Kinh Doanh,Thủ tướng đề nghị Algeria thúc đẩy các dự án dầu khí với Việt Nam,Thủ tướng Phạm Minh Chính đề nghị Bộ Dầu khí và Mỏ Algeria thúc đẩy các dự án cụ thể với Việt Nam.,Mới cập nhật,https://vnexpress.net/thu-tuong-de-nghi-algeria-thuc-day-cac-du-an-dau-khi-voi-viet-nam-4970898.html,https://i1-kinhdoanh.vnecdn.net/2025/11/21/img555417636482974861883954512-1514-9291-1763689228.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=LyYqkCUueARXlNbRQ1sfrg
Kinh Doanh,"Ông Trump bỏ thuế nhập khẩu 40% với thịt bò, cà phê Brazil","Ngày 20/11, Tổng thống Mỹ Donald Trump ký sắc lệnh gỡ bỏ thuế bổ sung 40% áp lên thực phẩm Brazil, gồm thịt bò, cacao và các loại trái cây.",Mới cập nhật,https://vnexpress.net/ong-trump-bo-thue-nhap-khau-40-voi-thit-bo-ca-phe-brazil-4970826.html,https://i1-kinhdoanh.vnecdn.net/2025/11/21/coffee-bean-brazil-reuters-176-6685-3045-1763687841.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=yTVF-GZ9UCuanbMY4AEX5w
Kinh Doanh,Kinh tế tăng trưởng thế nào 5 năm qua,"Giai đoạn 2021-2025, kinh tế Việt Nam tăng trưởng bình quân 6,3% và lần đầu tiên hướng tới mục tiêu tăng hai con số từ năm 2026.",Mới cập nhật,https://vnexpress.net/kinh-te-tang-truong-the-nao-5-nam-qua-4969999.html,https://i1-kinhdoanh.vnecdn.net/2025/11/20/Set-Top-1763646672.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=O646JhFVln7NR9OtdUQTmQ
Kinh Doanh,Hàng không Trung Quốc chật vật,Các hãng bay Trung Quốc chật vật tìm kiếm lợi nhuận giữa bối cảnh cạnh tranh khốc liệt và mạng lưới đường sắt cao tốc hiện đại chia sẻ thị phần.,Mới cập nhật,https://vnexpress.net/hang-khong-trung-quoc-chat-vat-4969271.html,https://i1-dulich.vnecdn.net/2025/11/20/china-1763625423-1763625461-7353-1763625484.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=UunH1YDTEKdSyOK5WL5LiQ
Kinh Doanh,Trung Quốc chuyển đổi thần tốc sang xe tải điện,"Xe tải điện dự kiến chiếm gần một nửa sản lượng bán ra ở Trung Quốc năm nay, từ mức không đáng kể 5 năm trước.",Mới cập nhật,https://vnexpress.net/trung-quoc-chuyen-doi-than-toc-sang-xe-tai-dien-4969242.html,https://i1-kinhdoanh.vnecdn.net/2025/11/20/087b4f4a-c852-408d-970d-c23dfe-6625-5524-1763625730.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=6yOXhQewYTgbmRL9Iok_jQ
Kinh Doanh,MB đồng hành cùng tiểu thương chuyển đổi kê khai thuế,"MB triển khai chuỗi hoạt động ""Cùng chợ lên số"" tại các khu chợ truyền thống, tư vấn về tính năng xuất hóa đơn điện tử và chữ ký số cho khách hàng.",Mới cập nhật,https://vnexpress.net/mb-dong-hanh-cung-tieu-thuong-chuyen-doi-ke-khai-thue-4972484.html,https://i1-kinhdoanh.vnecdn.net/2025/11/21/captureas2q11-jpg-1763719133-1-5780-2631-1763720064.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=CiAvjlK79CZICNdzTyMs8Q
Kinh Doanh,CEO IPPG nêu quan điểm bình đẳng giới tại diễn đàn WEPs 2025,"MalaysiaBà Lê Hồng Thủy Tiên, CEO IPPG, phát biểu về bình đẳng giới và cách hỗ trợ doanh nghiệp nữ tham gia sâu chuỗi cung ứng, tại diễn đàn WEPs, hôm 19/11.",Mới cập nhật,https://vnexpress.net/ceo-ippg-neu-quan-diem-binh-dang-gioi-tai-dien-dan-weps-2025-4972321.html,https://i1-kinhdoanh.vnecdn.net/2025/11/21/a-1-ok-1763716471-1763716489-7743-1763716689.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=s9qxmblH53mA9gWaMQKdyg
Kinh Doanh,Hà Nội sẽ thoái vốn khỏi Giầy Thượng Đình,"UBND Hà Nội sẽ bán đấu giá hơn 6,38 triệu cổ phần Giầy Thượng Đình, tức thoái toàn bộ 68,67% vốn để thu về ít nhất 130,9 tỷ đồng.",Mới cập nhật,https://vnexpress.net/ha-noi-se-thoai-von-khoi-giay-thuong-dinh-4969764.html,https://i1-kinhdoanh.vnecdn.net/2025/11/20/91a59715710449138dbb7d68999088-8042-6401-1763641166.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=f_HPfjFE81AuRPBAPsyA0w
Kinh Doanh,Thu nhập một năm của các tỷ phú đủ giúp cả thế giới thoát nghèo,"Tỷ phú tại các nền kinh tế hàng đầu thế giới kiếm thêm 2.200 tỷ USD năm ngoái, đủ đưa gần 4 tỷ người thoát cảnh nghèo khổ.",Mới cập nhật,https://vnexpress.net/thu-nhap-mot-nam-cua-cac-ty-phu-du-giup-ca-the-gioi-thoat-ngheo-4969270.html,https://i1-kinhdoanh.vnecdn.net/2025/11/20/2024-12-13t110308z-842759628-r-3666-1885-1763627660.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=7iZoKI7W4n2CECL-GzlbuA
Kinh Doanh,Cổ phiếu Vietjet Air tăng trần,"Cổ phiếu Vietjet Air tăng hết biên độ lên tiệm cận vùng đỉnh cũ, góp sức giúp chứng khoán tăng gần 7 điểm dù thị trường ""xanh vỏ, đỏ lòng"".",Mới cập nhật,https://vnexpress.net/co-phieu-vietjet-air-tang-tran-4969323.html,https://i1-kinhdoanh.vnecdn.net/2025/11/20/chungkhoan-2-jpg-1763627259-5835-1763627544.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=NCoTkNivoQaeCqyhDqL4SA
Kinh Doanh,"Giá xăng, dầu cùng giảm","Giá xăng, dầu (trừ dầu hỏa) cùng giảm 30-340 đồng một lít từ 15h hôm nay, sau điều chỉnh của liên Bộ Công Thương - Tài chính.",Mới cập nhật,https://vnexpress.net/gia-xang-moi-nhat-hom-nay-20-11-4969226.html,https://i1-kinhdoanh.vnecdn.net/2025/11/20/xang41665478582-1763622882-176-2287-1795-1763623936.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=q9xPJ8Z1Ja_sZJyvRRnvCg
Kinh Doanh,Các 'cá mập' có dấu hiệu tháo chạy khỏi Bitcoin,"Các quỹ ETF Bitcoin - phương tiện đầu tư tiền số phổ biến của các ""cá mập"" tài chính - bị rút ròng gần 2,3 tỷ USD, tạo áp lực cho thị trường.",Mới cập nhật,https://vnexpress.net/cac-ca-map-co-dau-hieu-thao-chay-khoi-bitcoin-4969200.html,https://i1-kinhdoanh.vnecdn.net/2025/11/20/r7n6ldx4m5oqhkcx7pvlqsrvta-jpe-4582-9446-1763614575.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=L5idB5F_6cY9LYWtpuR46Q
Kinh Doanh,Ông Trump có thể hoãn áp thuế sản phẩm bán dẫn,"Vài tháng sau khi công bố kế hoạch áp thuế 100% với bán dẫn, Mỹ thận trọng hơn để tránh rạn nứt với Trung Quốc.",Mới cập nhật,https://vnexpress.net/ong-trump-co-the-hoan-ap-thue-san-pham-ban-dan-4967571.html,https://i1-kinhdoanh.vnecdn.net/2025/11/20/ap25311032013517-1763609826-7298-1763609864.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=yQy8UpQFf_YngnVLrKwNpA
Kinh Doanh,"Thủ tướng: Doanh nghiệp Việt có thể đầu tư năng lượng, sản xuất chip tại Algeria","Thủ tướng Phạm Minh Chính cho rằng doanh nghiệp Việt có thể đầu tư tại Algeria ""từ trồng chè đến sản xuất chip"" và điều này ""rất khả thi"".",Mới cập nhật,https://vnexpress.net/thu-tuong-doanh-nghiep-viet-co-the-dau-tu-nang-luong-san-xuat-chip-tai-algeria-4968601.html,https://i1-kinhdoanh.vnecdn.net/2025/11/20/img5479-1763573403087932220677-4251-9372-1763609107.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=KiAy_EQ9m0x6U_fALeka8Q
Kinh Doanh,Lợi nhuận của nhiều công ty bất động sản tăng mạnh,"Loạt ông lớn trong ngành bất động sản nhà ở như Sunshine, Hodeco, CII, Khang Điền, Nam Long... báo lãi tăng hàng chục đến hàng trăm phần trăm trong quý III.",Mới cập nhật,https://vnexpress.net/loi-nhuan-cua-nhieu-cong-ty-bat-dong-san-tang-manh-4964476.html,https://i1-kinhdoanh.vnecdn.net/2025/11/16/aatbdsphiadongtphcmpic53883335-6182-9829-1763232756.png?w=240&h=144&q=100&dpr=1&fit=crop&s=TqJU4L2xfIuubXt89dWZ5w
Kinh Doanh,Sức ép bủa vây doanh nghiệp nhỏ tại Mỹ,"Doanh nghiệp nhỏ - xương sống của kinh tế Mỹ - cùng lúc đối mặt với chi phí tăng, khó vay vốn giá rẻ và thiếu lao động.",Mới cập nhật,https://vnexpress.net/suc-ep-bua-vay-doanh-nghiep-nho-tai-my-4965749.html,https://i1-kinhdoanh.vnecdn.net/2025/11/19/sme-us-1763542634-1763542679-6846-1763542888.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=5r64hUdqxC66PvLDHzHSDQ
Kinh Doanh,Những quỹ ETF nào sẽ rót tiền vào Việt Nam?,"Chứng khoán ACB dự đoán 12 quỹ ETF toàn cầu có thể rót vốn vào Việt Nam, nổi bật là nhà quản lý tài sản lớn nhất toàn cầu Vanguard.",Mới cập nhật,https://vnexpress.net/nhung-quy-etf-nao-se-rot-tien-vao-viet-nam-4965472.html,https://i1-kinhdoanh.vnecdn.net/2025/11/18/QUYN8573-1991-1763456583.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=Nt4S1KHjro6ifOqNhfA5hA
Kinh Doanh,COP30 vướng bài toán tài chính thích ứng bão lũ ngày càng nhiều,"Thời tiết cực đoan như bão lũ, hạn hán ngày càng dày đặc nhưng COP30 vẫn loay hoay tìm lời giải tài chính cho các nước đang phát triển.",Mới cập nhật,https://vnexpress.net/cop30-vuong-bai-toan-tai-chinh-thich-ung-bao-lu-ngay-cang-nhieu-4965812.html,https://i1-kinhdoanh.vnecdn.net/2025/11/19/afp-20251109-83hp2t3-v1-highre-3339-9190-1763535498.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=9SjPD3iVExfEFaoGumIiEA
Kinh Doanh,Sacombank ra mắt gói 'Tài chính xanh',"Gói Tài chính xanh tích hợp tiền gửi, thẻ, vay và bảo hiểm theo hướng bền vững, giúp khách hàng quản lý tài chính, đồng thời đóng góp vào các dự án môi trường.",Mới cập nhật,https://vnexpress.net/sacombank-ra-mat-goi-tai-chinh-xanh-4969688.html,https://i1-kinhdoanh.vnecdn.net/2025/11/20/image001-1763640810-1763640889-3875-1763640952.png?w=240&h=144&q=100&dpr=1&fit=crop&s=5yR-NFwLJLiVOy9QDXzKNg
Kinh Doanh,BIDV cùng ngành Thuế hỗ trợ hộ kinh doanh chuyển đổi kê khai thuế,"Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (BIDV) ký hợp tác với Cục Thuế, đồng thời ra mắt ứng dụng quản lý bán hàng Myshop Pro, hỗ trợ hộ kinh doanh chuyển đổi sang thuế kê khai, ngày 20/11.",Mới cập nhật,https://vnexpress.net/bidv-cung-nganh-thue-ho-tro-ho-kinh-doanh-chuyen-doi-ke-khai-thue-4969383.html,https://i1-kinhdoanh.vnecdn.net/2025/11/20/anh-ky-ket-1763632755-17636329-8574-7354-1763633067.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=KgWYvjWa61iO2EA6W2qK3w
Kinh Doanh,Masterise: Doanh nghiệp tư nhân tạo 'mắt xích' phát triển bền vững,"Doanh nghiệp tư nhân có khả năng huy động nguồn lực nhanh, thúc đẩy đổi mới, tham gia phát triển hạ tầng và hỗ trợ Nhà nước triển khai các mục tiêu dài hạn.",Mới cập nhật,https://vnexpress.net/masterise-doanh-nghiep-tu-nhan-tao-mat-xich-phat-trien-ben-vung-4969351.html,https://i1-kinhdoanh.vnecdn.net/2025/11/20/picture36-1763629692-176362972-9647-3558-1763629810.png?w=240&h=144&q=100&dpr=1&fit=crop&s=yMtoNxH3PjHuXRCLfKEi1w
The Gioi,Ông Trump: 'Đề xuất hòa bình Ukraine chưa phải là cuối cùng',"Tổng thống Trump cho biết kế hoạch hòa bình Ukraine mà ông đưa ra chưa phải là phương án cuối cùng, nhưng nhấn mạnh mong muốn cuộc xung đột sớm kết thúc.",2h trước,https://vnexpress.net/ong-trump-de-xuat-hoa-binh-ukraine-chua-phai-la-cuoi-cung-4982208.html,https://i1-vnexpress.vnecdn.net/2025/11/23/5563187178137269045a-176385549-3504-3475-1763855555.jpg?w=680&h=408&q=100&dpr=1&fit=crop&s=Vse1oKiM0XPr8_lLLmm3Cw
The Gioi,Nghị sĩ thúc đẩy cuộc bỏ phiếu 'xé nát MAGA',"Là người thúc đẩy công bố hồ sơ Epstein ngay từ những ngày đầu, nghị sĩ Khanna đã thành công trong việc thông qua đạo luật khiến phong trào MAGA bị ""xé nát"".",Mới cập nhật,https://vnexpress.net/nghi-si-thuc-day-cuoc-bo-phieu-xe-nat-maga-4967585.html,https://i1-vnexpress.vnecdn.net/2025/11/20/AP25320658219988-1763613920-8463-1763614125.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=FjpCcI_WIp5W5BAte4-B2A
The Gioi,Ukraine sẽ đàm phán cấp cao với Mỹ về kế hoạch hòa bình,Phái đoàn cấp cao Ukraine sẽ họp cùng phía Mỹ tại Thụy Sĩ trong tuần tới để thảo luận về kế hoạch hòa bình 28 điểm của ông Trump.,Mới cập nhật,https://vnexpress.net/ukraine-se-dam-phan-cap-cao-voi-my-ve-ke-hoach-hoa-binh-4978397.html,https://i1-vnexpress.vnecdn.net/2025/11/22/ap25325619978339-1763820674-2506-1763820708.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=6SqEV53rIXTYH2p1lTAEhQ
The Gioi,Thủ tướng đề xuất ba bảo đảm chiến lược tại hội nghị thượng đỉnh G20,"Thủ tướng Phạm Minh Chính phát biểu tại hội nghị thượng đỉnh G20, nêu ba bảo đảm chiến lược để thúc đẩy tăng trưởng bao trùm, bền vững và không để ai bị bỏ lại phía sau.",Mới cập nhật,https://vnexpress.net/thu-tuong-de-xuat-ba-bao-dam-chien-luoc-tai-hoi-nghi-thuong-dinh-g20-4978265.html,https://i1-vnexpress.vnecdn.net/2025/11/22/img033717638065998951467021884-1784-5184-1763820726.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=B3gkt7Gtp8cy9HiPbemkxw
The Gioi,Brazil thực thi lệnh 'bắt phòng ngừa' với cựu tổng thống Bolsonaro,"Cảnh sát Brazil tới dinh thự bắt cựu tổng thống Bolsonaro theo lệnh ""phòng ngừa"" của Tòa án Tối cao, vài ngày trước khi ông thụ án tù 27 năm.",Mới cập nhật,https://vnexpress.net/brazil-thuc-thi-lenh-bat-phong-ngua-voi-cuu-tong-thong-bolsonaro-4976786.html,https://i1-vnexpress.vnecdn.net/2025/11/22/afp2025091474gd338v3highresbra-5112-6333-1763814666.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=DNbAVxPkySIxQoj_h6WVzw
The Gioi,Cuộc gặp giúp ông Trump và tân Thị trưởng New York 'hóa thù thành bạn',"Cuộc gặp đầu tiên tại Nhà Trắng diễn ra suôn sẻ, giúp ông Trump và Thị trưởng New York Mamdani xóa bỏ hiềm khích, thậm chí còn tán dương lẫn nhau.",Mới cập nhật,https://vnexpress.net/cuoc-gap-giup-ong-trump-va-tan-thi-truong-new-york-hoa-thu-thanh-ban-4973846.html,https://i1-vnexpress.vnecdn.net/2025/11/22/afp-20251121-84t33fy-v1-highre-6703-4578-1763795036.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=L01Y02t8CG_syrxAfd4gXA
The Gioi,Xả súng trong lễ thắp sáng cây thông Noel ở Mỹ,"Vụ xả súng xảy ra tại lễ thắp sáng cây thông Noel ở Bắc Carolina, khiến 4 người bị thương, gây hỗn loạn tại sự kiện đông người tham dự.",Mới cập nhật,https://vnexpress.net/xa-sung-trong-le-thap-sang-cay-thong-noel-o-my-4976136.html,https://i1-vnexpress.vnecdn.net/2025/11/22/cats-1763810265-1763810282-9026-1763810303.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=oaAZZ5axDj7He62EPOg2vA
The Gioi,"Campuchia phá băng nhóm đóng giả quân cảnh, tống tiền du khách","CampuchiaGiới chức Phnom Penh triệt phá băng nhóm chuyên đóng giả quân cảnh, mang vũ khí bắt cóc du khách nước ngoài để tống tiền.",Mới cập nhật,https://vnexpress.net/campuchia-pha-bang-nhom-dong-gia-quan-canh-tong-tien-du-khach-4975784.html,https://i1-vnexpress.vnecdn.net/2025/11/22/campuchia-jpeg-1763805094-1763-6332-9543-1763805402.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=Z1xs_okkvVZ-QBl1dd5bGA
The Gioi,Trung Quốc đưa tranh cãi với Nhật Bản lên LHQ,"Trung Quốc gửi thư tới Tổng thư ký LHQ, cáo buộc Nhật Bản vi phạm luật pháp quốc tế khi ""đe dọa can thiệp vũ trang với đảo Đài Loan"".",Mới cập nhật,https://vnexpress.net/trung-quoc-dua-tranh-cai-voi-nhat-ban-len-lhq-4975663.html,https://i1-vnexpress.vnecdn.net/2025/11/22/afp20250203lamparskichinesea25-5415-3632-1763803803.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=7VWjYo_wT0mhOpNAyi2G0w
The Gioi,Những người Nhật không lo ngại khi vắng bóng du khách Trung Quốc,"Tiệm trang sức của Shiina Ito tại Tokyo những ngày qua vắng khách Trung Quốc, nhưng cô không lo lắng vì khách Nhật Bản đã quay lại.",Mới cập nhật,https://vnexpress.net/nhung-nguoi-nhat-khong-lo-ngai-khi-vang-bong-du-khach-trung-quoc-4975452.html,https://i1-vnexpress.vnecdn.net/2025/11/22/du-kha-ch-trung-quo-c-1-large-3418-5131-1763801047.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=fQ2SWNo1gHRFxTDBlv-pwA
The Gioi,Người Ukraine thất vọng với kế hoạch hòa bình của ông Trump,"Người Ukraine lâu nay mong mỏi chấm dứt xung đột, nhưng kế hoạch hòa bình mới mà ông Trump đưa ra khiến họ bất bình và hoài nghi.",Mới cập nhật,https://vnexpress.net/nguoi-ukraine-that-vong-voi-ke-hoach-hoa-binh-cua-ong-trump-4973584.html,https://i1-vnexpress.vnecdn.net/2025/11/22/afp-20251117-848v2g3-v1-highre-3385-5139-1763786067.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=wi4q2wYlUFKultmd-xl5Tw
The Gioi,FBI tìm mua drone cáp quang,FBI muốn mua drone cáp quang có khả năng duy trì kết nối ổn định và kháng nhiễu để bổ sung vào kho thiết bị chống tội phạm.,Mới cập nhật,https://vnexpress.net/fbi-tim-mua-drone-cap-quang-4974306.html,https://i1-vnexpress.vnecdn.net/2025/11/22/5563187178137269044a-176378517-7909-6769-1763785316.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=hl3sCBAhEEsRnqtyxRilFQ
The Gioi,Chuyến thăm Mỹ hái nhiều quả ngọt của Thái tử Arab Saudi,"Chuyến thăm Mỹ của Thái tử Arab Saudi đem về nhiều lợi ích cho Riyadh trong lĩnh vực ngoại giao, quốc phòng, công nghệ và an ninh khu vực.",Mới cập nhật,https://vnexpress.net/chuyen-tham-my-hai-nhieu-qua-ngot-cua-thai-tu-arab-saudi-4970836.html,https://i1-vnexpress.vnecdn.net/2025/11/21/ap25322601153246-1763700433-8603-1763701232.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=O5CtLpEwWlB6l16mGHNqFw
